"year","INEGI","ENTIDAD","POB","TOTAL","TASA_TOTAL"
1997,1,"AGUASCALIENTES",904251,355,39.3
1997,2,"BAJA CALIFORNIA",2256820,492,21.8
1997,3,"BAJA CALIFORNIA SUR",397482,60,15.1
1997,4,"CAMPECHE",669051,130,19.4
1997,7,"CHIAPAS",3760072,1357,36.1
1997,8,"CHIHUAHUA",2919731,677,23.2
1997,9,"CIUDAD DE MEXICO",8603851,977,11.4
1997,5,"COAHUILA",2245293,175,7.8
1997,6,"COLIMA",512611,99,19.3
1997,10,"DURANGO",1461472,61,4.2
1997,11,"GUANAJUATO",4559319,567,12.4
1997,12,"GUERRERO",3023862,1273,42.1
1997,13,"HIDALGO",2195424,360,16.4
1997,14,"JALISCO",6200206,600,9.7
1997,15,"MEXICO",12352846,3037,24.6
1997,16,"MICHOACAN",3985902,757,19
1997,17,"MORELOS",1501155,178,11.9
1997,18,"NAYARIT",917539,132,14.4
1997,19,"NUEVO LEON",3691856,163,4.4
1997,20,"OAXACA",3367789,788,23.4
1997,21,"PUEBLA",4882284,729,14.9
1997,22,"QUERETARO",1325010,234,17.7
1997,23,"QUINTANA ROO",776486,335,43.1
1997,24,"SAN LUIS POTOSI",2271929,301,13.2
1997,25,"SINALOA",2496840,669,26.8
1997,26,"SONORA",2161176,526,24.3
1997,27,"TABASCO",1829851,353,19.3
1997,28,"TAMAULIPAS",2642006,473,17.9
1997,29,"TLAXCALA",929160,63,6.8
1997,30,"VERACRUZ",6900135,722,10.5
1997,31,"YUCATAN",1615703,110,6.8
1997,32,"ZACATECAS",1363429,113,8.3
1998,1,"AGUASCALIENTES",923720,66,7.1
1998,2,"BAJA CALIFORNIA",2337309,292,12.5
1998,3,"BAJA CALIFORNIA SUR",409121,18,4.4
1998,4,"CAMPECHE",680769,117,17.2
1998,7,"CHIAPAS",3833244,1399,36.5
1998,8,"CHIHUAHUA",2975318,584,19.6
1998,9,"CIUDAD DE MEXICO",8613378,947,11
1998,5,"COAHUILA",2273653,165,7.3
1998,6,"COLIMA",523930,89,17
1998,10,"DURANGO",1462797,134,9.2
1998,11,"GUANAJUATO",4617346,230,5
1998,12,"GUERRERO",3061713,1306,42.7
1998,13,"HIDALGO",2224693,250,11.2
1998,14,"JALISCO",6271803,604,9.6
1998,15,"MEXICO",12665308,2221,17.5
1998,16,"MICHOACAN",4007166,1022,25.5
1998,17,"MORELOS",1526066,216,14.2
1998,18,"NAYARIT",922671,165,17.9
1998,19,"NUEVO LEON",3753988,160,4.3
1998,20,"OAXACA",3417304,14,0.4
1998,21,"PUEBLA",4984849,675,13.5
1998,22,"QUERETARO",1362038,39,2.9
1998,23,"QUINTANA ROO",819113,117,14.3
1998,24,"SAN LUIS POTOSI",2294051,297,12.9
1998,25,"SINALOA",2520813,643,25.5
1998,26,"SONORA",2189792,555,25.3
1998,27,"TABASCO",1863944,368,19.7
1998,28,"TAMAULIPAS",2694610,428,15.9
1998,29,"TLAXCALA",947957,49,5.2
1998,30,"VERACRUZ",6933318,707,10.2
1998,31,"YUCATAN",1639642,23,1.4
1998,32,"ZACATECAS",1365536,316,23.1
1999,1,"AGUASCALIENTES",943020,27,2.9
1999,2,"BAJA CALIFORNIA",2418123,657,27.2
1999,3,"BAJA CALIFORNIA SUR",420791,31,7.4
1999,4,"CAMPECHE",692305,78,11.3
1999,7,"CHIAPAS",3905497,1452,37.2
1999,8,"CHIHUAHUA",3030151,425,14
1999,9,"CIUDAD DE MEXICO",8616747,880,10.2
1999,5,"COAHUILA",2300962,139,6
1999,6,"COLIMA",535245,53,9.9
1999,10,"DURANGO",1463112,291,19.9
1999,11,"GUANAJUATO",4673454,259,5.5
1999,12,"GUERRERO",3098151,1242,40.1
1999,13,"HIDALGO",2253302,199,8.8
1999,14,"JALISCO",6340731,545,8.6
1999,15,"MEXICO",12978400,2966,22.9
1999,16,"MICHOACAN",4026194,575,14.3
1999,17,"MORELOS",1550665,344,22.2
1999,18,"NAYARIT",927306,146,15.7
1999,19,"NUEVO LEON",3815110,131,3.4
1999,20,"OAXACA",3465731,823,23.7
1999,21,"PUEBLA",5086521,575,11.3
1999,22,"QUERETARO",1399138,55,3.9
1999,23,"QUINTANA ROO",862250,123,14.3
1999,24,"SAN LUIS POTOSI",2315149,414,17.9
1999,25,"SINALOA",2543638,564,22.2
1999,26,"SONORA",2217529,292,13.2
1999,27,"TABASCO",1897742,229,12.1
1999,28,"TAMAULIPAS",2746487,253,9.2
1999,29,"TLAXCALA",966566,163,16.9
1999,30,"VERACRUZ",6962832,590,8.5
1999,31,"YUCATAN",1662972,8,0.5
1999,32,"ZACATECAS",1366763,90,6.6
2000,1,"AGUASCALIENTES",964010,14,1.5
2000,2,"BAJA CALIFORNIA",2493675,460,18.4
2000,3,"BAJA CALIFORNIA SUR",434318,31,7.1
