"year","cve_ent","ent","region","muni","tot","Population","value"
2015,11,"Guanajuato",11001,"Abasolo",13,88132,14.7506013706713
2015,11,"Guanajuato",11002,"Acámbaro",24,112516,21.3302996907107
2015,11,"Guanajuato",11003,"San Miguel de Allende",21,171982,12.2105801769953
2015,11,"Guanajuato",11004,"Apaseo el Alto",11,68012,16.1736164206317
2015,11,"Guanajuato",11005,"Apaseo el Grande",18,91627,19.644864505004
2015,11,"Guanajuato",11006,"Atarjea",0,5837,0
2015,11,"Guanajuato",11007,"Celaya",76,499094,15.2275923974241
2015,11,"Guanajuato",11008,"Manuel Doblado",4,38675,10.3425985778927
2015,11,"Guanajuato",11009,"Comonfort",14,82203,17.0310086006593
2015,11,"Guanajuato",11010,"Coroneo",1,12032,8.31117021276596
2015,11,"Guanajuato",11011,"Cortazar",17,91526,18.5739571269366
2015,11,"Guanajuato",11012,"Cuerámaro",4,29059,13.7650985925187
2015,11,"Guanajuato",11013,"Doctor Mora",3,24405,12.2925629993854
2015,11,"Guanajuato",11014,"Dolores Hidalgo Cuna de la Independencia Nacional",13,155544,8.3577637195906
2015,11,"Guanajuato",11015,"Guanajuato",15,182993,8.19703485925691
2015,11,"Guanajuato",11016,"Huanímaro",3,20962,14.3116114874535
2015,11,"Guanajuato",11017,"Irapuato",92,566888,16.2289552786441
2015,11,"Guanajuato",11018,"Jaral del Progreso",4,39081,10.2351526317136
2015,11,"Guanajuato",11019,"Jerécuaro",7,53632,13.0519093078759
2015,11,"Guanajuato",11020,"León",154,1527668,10.0807243458657
2015,11,"Guanajuato",11021,"Moroleón",7,50903,13.7516452861324
2015,11,"Guanajuato",11022,"Ocampo",4,23701,16.8769250242606
2015,11,"Guanajuato",11023,"Pénjamo",49,156446,31.3207112997456
2015,11,"Guanajuato",11024,"Pueblo Nuevo",3,11953,25.0983016815862
2015,11,"Guanajuato",11025,"Purísima del Rincón",12,75991,15.7913437117553
2015,11,"Guanajuato",11026,"Romita",7,59869,11.6921946249311
2015,11,"Guanajuato",11027,"Salamanca",56,276198,20.2753097415622
2015,11,"Guanajuato",11028,"Salvatierra",41,99418,41.2400168983484
2015,11,"Guanajuato",11029,"San Diego de la Unión",2,38490,5.19615484541439
2015,11,"Guanajuato",11030,"San Felipe",9,112229,8.01931764517193
2015,11,"Guanajuato",11031,"San Francisco del Rincón",12,119135,10.0726067066773
2015,11,"Guanajuato",11032,"San José Iturbide",7,79574,8.79684318998668
2015,11,"Guanajuato",11033,"San Luis de la Paz",22,123347,17.8358614315711
2015,11,"Guanajuato",11034,"Santa Catarina",0,5374,0
2015,11,"Guanajuato",11035,"Santa Cruz de Juventino Rosas",22,84096,26.1605783866058
2015,11,"Guanajuato",11036,"Santiago Maravatío",4,6828,58.5823081429408
2015,11,"Guanajuato",11037,"Silao de la Victoria",31,186797,16.5955556031414
2015,11,"Guanajuato",11038,"Tarandacuao",1,12327,8.11227387036586
2015,11,"Guanajuato",11039,"Tarimoro",11,37043,29.6952190697298
2015,11,"Guanajuato",11040,"Tierra Blanca",0,19200,0
2015,11,"Guanajuato",11041,"Uriangato",18,62960,28.5895806861499
2015,11,"Guanajuato",11042,"Valle de Santiago",15,148103,10.1280865343713
2015,11,"Guanajuato",11043,"Victoria",2,20022,9.98901208670462
2015,11,"Guanajuato",11044,"Villagrán",26,59184,43.9307921059746
2015,11,"Guanajuato",11045,"Xichú",0,11880,0
2015,11,"Guanajuato",11046,"Yuriria",24,74678,32.1379790567503
2016,11,"Guanajuato",11001,"Abasolo",11,88673,12.4051289569542
2016,11,"Guanajuato",11002,"Acámbaro",40,112952,35.4132728946809
2016,11,"Guanajuato",11003,"San Miguel de Allende",24,173599,13.8249644295186
2016,11,"Guanajuato",11004,"Apaseo el Alto",15,68546,21.8831149884749
2016,11,"Guanajuato",11005,"Apaseo el Grande",20,92484,21.6253622248173
2016,11,"Guanajuato",11006,"Atarjea",0,5862,0
2016,11,"Guanajuato",11007,"Celaya",100,503206,19.8725770360449
2016,11,"Guanajuato",11008,"Manuel Doblado",11,38897,28.2798159241073
2016,11,"Guanajuato",11009,"Comonfort",15,82917,18.0903795361627
2016,11,"Guanajuato",11010,"Coroneo",4,12089,33.0879311771032
2016,11,"Guanajuato",11011,"Cortazar",22,92046,23.901092931795
2016,11,"Guanajuato",11012,"Cuerámaro",4,29277,13.662602042559
2016,11,"Guanajuato",11013,"Doctor Mora",2,24596,8.13140348024069
2016,11,"Guanajuato",11014,"Dolores Hidalgo Cuna de la Independencia Nacional",18,156808,11.4790061731544
2016,11,"Guanajuato",11015,"Guanajuato",15,184560,8.12743823146944
2016,11,"Guanajuato",11016,"Huanímaro",2,21079,9.48811613454149
2016,11,"Guanajuato",11017,"Irapuato",80,571786,13.9912484740795
2016,11,"Guanajuato",11018,"Jaral del Progreso",4,39367,10.1607945741357
2016,11,"Guanajuato",11019,"Jerécuaro",5,54021,9.25565983598971
2016,11,"Guanajuato",11020,"León",193,1540780,12.5261231324394
2016,11,"Guanajuato",11021,"Moroleón",3,51107,5.87003737257127
2016,11,"Guanajuato",11022,"Ocampo",1,23872,4.18900804289544
2016,11,"Guanajuato",11023,"Pénjamo",59,157400,37.4841168996188
2016,11,"Guanajuato",11024,"Pueblo Nuevo",4,12040,33.2225913621262
2016,11,"Guanajuato",11025,"Purísima del Rincón",6,76911,7.80122479229239
