"AÑO","ENTIDAD","tasa_total"
1997,"Nacional",17.8
1998,"Nacional",14.8
1999,"Nacional",15
2000,"Nacional",14
2001,"Nacional",13.8
2002,"Nacional",13
2003,"Nacional",12.3
2004,"Nacional",11.2
2005,"Nacional",10.6
2006,"Nacional",11
2007,"Nacional",9.4
2008,"Nacional",11.9
2009,"Nacional",14.4
2010,"Nacional",17.7
2011,"Nacional",19.4
2012,"Nacional",18.4
2013,"Nacional",15.3
2014,"Nacional",12.9
2015,"Nacional",13.6
2016,"Nacional",16.9
2017,"Nacional",20.8
2018,"Nacional",23.7
1997,"Guanajuato",12.4
1998,"Guanajuato",5
1999,"Guanajuato",5.5
2000,"Guanajuato",4.6
2001,"Guanajuato",4.9
2002,"Guanajuato",4.3
2003,"Guanajuato",4.3
2004,"Guanajuato",3.9
2005,"Guanajuato",4.2
2006,"Guanajuato",4.7
2007,"Guanajuato",4.4
2008,"Guanajuato",4.8
2009,"Guanajuato",7.6
2010,"Guanajuato",7.9
2011,"Guanajuato",10.7
2012,"Guanajuato",13.5
2013,"Guanajuato",11.1
2014,"Guanajuato",12.1
2015,"Guanajuato",14.8
2016,"Guanajuato",16
2017,"Guanajuato",18.1
2018,"Guanajuato",43
